zip,actblue_donations,estimate,moe,per_capita_donations
21705,449,5,8,89800
21715,93,12,22,7750
21010,1196,216,265,5537.037037037037
21654,6312,1260,263,5009.523809523809
21405,1726,383,140,4506.527415143603
21051,461,113,95,4079.6460176991154
21814,274,81,91,3382.716049382716
20688,3855,1170,509,3294.871794871795
20839,462,161,103,2869.565217391304
21023,188,68,62,2764.705882352941
20815,77637,31080,1537,2497.9729729729734
20896,1962,840,120,2335.714285714286
20880,1356,604,164,2245.0331125827815
20818,3976,1787,368,2224.958030218243
21667,445,218,97,2041.284403669725
21930,55,27,42,2037.0370370370372
20816,35071,17390,1099,2016.7337550316274
21153,1329,676,204,1965.976331360947
20860,4148,2279,525,1820.096533567354
20814,54366,30234,1563,1798.1742409208177
21652,249,143,85,1741.2587412587413
20817,65357,37795,1489,1729.2499007805263
21210,25454,15005,893,1696.3678773742085
21714,426,272,174,1566.1764705882354
20912,38778,25823,1428,1501.6845447856563
20812,416,282,93,1475.177304964539
21647,635,450,187,1411.1111111111113
20676,4042,2897,580,1395.2364515015533
20895,26497,19273,1272,1374.8248845535204
20910,60712,45072,1708,1347.0003549875755
21662,821,657,188,1249.619482496195
20838,448,368,162,1217.3913043478262
20630,371,307,147,1208.469055374593
20901,42989,37207,2224,1155.4008654285483
21718,165,143,42,1153.8461538461538
20854,55150,49320,2280,1118.2076236820762
20769,7457,6812,1073,1094.6858485026426
20626,240,239,154,1004.18410041841
20852,48307,48379,2333,998.51175096632835
21044,44569,45100,2073,988.2261640798226
20862,260,268,132,970.1492537313433
21401,36733,40442,1625,908.2884130359528
20861,2729,3031,869,900.3629165291983
21209,26774,29960,2204,893.6582109479306
20850,45289,51072,1675,886.7677005012531
20721,27247,30785,2089,885.0738996264414
21663,3198,3646,492,877.1256171146462
21665,141,164,86,859.7560975609756
20623,2075,2457,389,844.5258445258446
20777,2707,3220,494,840.6832298136646
21211,13357,15935,805,838.2177596485724
21679,213,255,124,835.2941176470589
20690,697,843,318,826.8090154211151
21111,3969,4838,659,820.3803224472923
21624,164,201,123,815.9203980099502
