zip,winred_donations,estimate,moe,per_capita_donations
21705,33,5,8,6600
20677,10510,2055,410,5114.355231143552
20880,2579,604,164,4269.867549668875
21871,6748,1747,313,3862.621637092158
21659,3060,1225,346,2497.9591836734694
20688,2245,1170,509,1918.803418803419
21715,22,12,22,1833.3333333333333
21865,553,393,173,1407.1246819338423
21543,280,277,136,1010.8303249097472
20612,146,147,133,993.1972789115646
20690,735,843,318,871.8861209964413
20765,522,604,255,864.2384105960265
21740,41865,62760,1925,667.0650095602294
20776,1963,2966,739,661.8341200269724
21645,799,1231,367,649.0658001624695
21842,6872,10951,524,627.5226006757374
21132,1935,3110,547,622.1864951768489
21661,1483,2571,314,576.8183586153248
21644,21,40,55,525
21635,909,1836,373,495.0980392156863
20837,3241,6651,315,487.29514358743046
21810,75,160,137,468.75
21056,146,318,225,459.1194968553459
21053,1337,3051,680,438.2169780399869
21738,1641,3786,551,433.43898573692553
20650,6687,15522,1211,430.80788558175493
21204,8428,20188,1071,417.47572815533977
21087,2194,5597,525,391.9957119885653
21654,475,1260,263,376.984126984127
21013,1870,5382,1023,347.4544778892605
21082,236,694,258,340.0576368876081
21665,55,164,86,335.3658536585366
21663,1221,3646,492,334.88754799780577
20634,2590,7853,1330,329.81026359353115
21766,177,544,177,325.36764705882354
20751,672,2081,396,322.9216722729457
21032,2557,8040,1015,318.0348258706467
21679,81,255,124,317.6470588235294
21723,215,689,207,312.04644412191584
21163,2253,7222,767,311.9634450290778
21767,271,873,322,310.4238258877434
21619,1752,5776,636,303.32409972299166
21762,53,176,184,301.1363636363636
20615,156,524,233,297.70992366412213
20733,781,2669,658,292.61895841139
21758,1294,4610,740,280.6941431670282
21658,1085,3883,420,279.4231264486222
21405,107,383,140,279.3733681462141
20646,5750,21248,1174,270.6137048192771
20639,4060,15058,1086,269.6241200690663
21911,2860,10804,826,264.71677156608666
21023,18,68,62,264.70588235294116
20862,70,268,132,261.19402985074623
21620,3547,13636,712,260.1202698738633
20674,209,807,389,258.9838909541512
21717,54,209,158,258.3732057416268
21662,168,657,188,255.70776255707761
21084,1880,7366,989,255.22671734998642
21797,2300,9034,775,254.5937569183086
